"filename", "language", "HTML", "TypeScript", "CSS", "JSON", "XML", "JavaScript", "SCSS", "Less", "comment", "blank", "total"
"e:\Sandip_da\Project\New_Project\chartdoc_web\src\app\office-calendar\calendarschedule.component.html", "HTML", 88, 0, 0, 0, 0, 0, 0, 0, 5, 24, 117
"e:\Sandip_da\Project\New_Project\chartdoc_web\src\app\office-calendar\calendarschedule.component.ts", "TypeScript", 0, 335, 0, 0, 0, 0, 0, 0, 26, 89, 450
"e:\Sandip_da\Project\New_Project\chartdoc_web\src\app\office-calendar\officecalendar-routing.module.ts", "TypeScript", 0, 13, 0, 0, 0, 0, 0, 0, 0, 3, 16
"e:\Sandip_da\Project\New_Project\chartdoc_web\src\app\office-calendar\officecalendar.component.css", "CSS", 0, 0, 25, 0, 0, 0, 0, 0, 0, 0, 25
"e:\Sandip_da\Project\New_Project\chartdoc_web\src\app\office-calendar\officecalendar.component.html", "HTML", 175, 0, 0, 0, 0, 0, 0, 0, 37, 26, 238
"e:\Sandip_da\Project\New_Project\chartdoc_web\src\app\office-calendar\officecalendar.component.ts", "TypeScript", 0, 362, 0, 0, 0, 0, 0, 0, 63, 42, 467
"e:\Sandip_da\Project\New_Project\chartdoc_web\src\app\office-calendar\officecalendar.module.ts", "TypeScript", 0, 31, 0, 0, 0, 0, 0, 0, 0, 1, 32
"e:\Sandip_da\Project\New_Project\chartdoc_web\src\app\patient-create\patient-create-routing.module.ts", "TypeScript", 0, 11, 0, 0, 0, 0, 0, 0, 0, 4, 15
"e:\Sandip_da\Project\New_Project\chartdoc_web\src\app\patient-create\patient-create.component.css", "CSS", 0, 0, 4, 0, 0, 0, 0, 0, 0, 0, 4
"e:\Sandip_da\Project\New_Project\chartdoc_web\src\app\patient-create\patient-create.component.html", "HTML", 559, 0, 0, 0, 0, 0, 0, 0, 18, 6, 583
"e:\Sandip_da\Project\New_Project\chartdoc_web\src\app\patient-create\patient-create.component.spec.ts", "TypeScript", 0, 20, 0, 0, 0, 0, 0, 0, 0, 6, 26
"e:\Sandip_da\Project\New_Project\chartdoc_web\src\app\patient-create\patient-create.component.ts", "TypeScript", 0, 587, 0, 0, 0, 0, 0, 0, 23, 43, 653
"e:\Sandip_da\Project\New_Project\chartdoc_web\src\app\patient-create\patient-create.module.ts", "TypeScript", 0, 20, 0, 0, 0, 0, 0, 0, 0, 3, 23
